Sample	Site	Phase	Treatment	Timepoint	Incubation	Label	delta15N	atom_perc	atom_perc_ex	timesSD	medium_atom_perc_ex	N_ug	g_DW_ind	rate_ng_h	rate_nmol_h
Epiphytes	Ambient	Light	Ctrl	T1	5	Fix_C_L_T1_C2	8.007601908	0.369395761	5.42E-05	0.285575155	NA	1223.589179	0.020455	NA	NA
Epiphytes	Ambient	Light	Ctrl	T1	5	Fix_C_L_T1_C3_	7.342402665	0.369152891	-0.000188654	-0.993719097	NA	1789.158652	0.021064	NA	NA
Epiphytes	Ambient	Dark	Y	T1	5	Fix_C_D_T1_+Epi_a	7.999575372	0.36939283	5.13E-05	0.270138761	15.9329135	1126.41991	0.020284	0	0
Epiphytes	Ambient	Dark	Y	T1	5	Fix_C_D_T1_+Epi_b	7.984525615	0.369387336	4.58E-05	0.241195519	15.9329135	2523.540961	0.020194	0	0
Epiphytes	Ambient	Dark	Y	T1	5	Fix_C_D_T1_+Epi_c	7.684533799	0.369277806	-6.37E-05	-0.33574043	15.9329135	1535.045642	0.019787	0	0
Epiphytes	Ambient	Dark	Y	T1	5	Fix_C_D_T1_+Epi_d	8.203248745	0.369467193	0.000125648	0.661836984	15.9329135	1735.318726	0.020272	0	0
Epiphytes	Ambient	Dark	Ctrl	T1	5	Fix_C_D_T1_C1	8.975802918	0.369749257	0.000407712	2.147583548	NA	1667.107187	0.020279	NA	NA
Epiphytes	Ambient	Dark	Ctrl	T1	5	Fix_C_D_T1_C2	7.902253612	0.369357298	1.58E-05	0.082972409	NA	2831.565398	0.021007	NA	NA
Epiphytes	Ambient	Dark	Ctrl	T1	5	Fix_C_D_T1_C3	7.388555252	0.369169742	-0.000171804	-0.904959416	NA	1742.754785	0.020516	NA	NA
Epiphytes	Ambient	Light	Y	T2	18	Fix_C_L_T2_+Epi_a	14.21512486	0.371662123	0.002320578	12.22342463	13.29256929	1878.67736	0.020414	892.5627806	63.72398785
Epiphytes	Ambient	Light	Y	T2	18	Fix_C_L_T2_+Epi_b	8.663771298	0.369635333	0.000293787	1.547497312	13.29256929	1501.225875	0.019749	0	0
Epiphytes	Ambient	Light	Y	T2	18	Fix_C_L_T2_+Epi_c	11.0917987	0.370521812	0.001180266	6.216942425	13.29256929	2045.130677	0.020493	492.282221	35.14619582
Epiphytes	Ambient	Light	Y	T2	18	Fix_C_L_T2_+Epi_d	12.27972616	0.370955522	0.001613976	8.501467116	13.29256929	1868.595781	0.020999	600.2503368	42.85451511
Epiphytes	Ambient	Light	Ctrl	T2	18	Fix_C_L_T2_C1	8.814268864	0.36969028	0.000348735	1.836928144	0.042615485	1538.048666	0.020089	0	0
Epiphytes	Ambient	Light	Ctrl	T2	18	Fix_C_L_T2_C2	8.54136661	0.369590642	0.000249097	1.312093333	0.042615485	1777.50406	0.019831	0	0
Epiphytes	Ambient	Light	Ctrl	T2	18	Fix_C_L_T2_C3	7.948406199	0.369374148	3.26E-05	0.171731726	0.042615485	1904.632066	0.019724	0	0
